record_date,batch_id,product_name,inspection_stage,inspection_score,inspection_result,deviation_severity,open_ncrs_count,capa_pending_count,capa_critical_count,capa_major_count,audit_score_pct,previous_audit_score_pct,deviation_critical_count,deviation_major_count,deviation_minor_count,audit1_name,audit1_department,audit1_date,audit1_priority,audit2_name,audit2_department,audit2_date,audit2_priority,audit3_name,audit3_department,audit3_date,audit3_priority
2026-01-01,BTC-20260101-001,Omeprazole 20mg,Incoming,88,Pass,None,6,2,0,1,96.2,95.8,0,1,3,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-01,BTC-20260101-002,Ibuprofen 400mg,In-Process,97,Pass,None,6,2,0,1,96.2,95.8,0,1,3,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-01,BTC-20260101-003,Amoxicillin 500mg,Stability,95,Pass,None,6,2,0,1,96.2,95.8,0,1,3,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-01,BTC-20260101-004,Paracetamol 650mg,Incoming,95,Pass,None,6,2,0,1,96.2,95.8,0,1,3,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-01,BTC-20260101-005,Metformin 1g,Final Release,96,Pass,Minor,6,2,0,1,96.2,95.8,0,1,3,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-02,BTC-20260102-001,Cetirizine 10mg,Final Release,96,Pass,None,8,1,0,1,96.8,96.2,0,1,0,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-02,BTC-20260102-002,Paracetamol 650mg,Stability,98,Pass,None,8,1,0,1,96.8,96.2,0,1,0,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-02,BTC-20260102-003,Ciprofloxacin 500mg,Stability,96,Pass,None,8,1,0,1,96.8,96.2,0,1,0,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-02,BTC-20260102-004,Omeprazole 20mg,In-Process,93,Pass,Minor,8,1,0,1,96.8,96.2,0,1,0,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-02,BTC-20260102-005,Atorvastatin 20mg,In-Process,97,Pass,None,8,1,0,1,96.8,96.2,0,1,0,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-03,BTC-20260103-001,Atorvastatin 20mg,In-Process,93,Pass,None,4,1,0,0,97.2,96.8,0,0,4,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-03,BTC-20260103-002,Ciprofloxacin 500mg,In-Process,89,Pass,None,4,1,0,0,97.2,96.8,0,0,4,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-04,BTC-20260104-001,Ibuprofen 400mg,Final Release,95,Pass,None,3,0,0,0,97.9,97.2,0,0,1,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-04,BTC-20260104-002,Paracetamol 650mg,In-Process,97,Pass,None,3,0,0,0,97.9,97.2,0,0,1,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-04,BTC-20260104-003,Cetirizine 10mg,Final Release,98,Pass,Minor,3,0,0,0,97.9,97.2,0,0,1,Environmental Monitoring,Quality Control,2026-01-05,Low,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium
2026-01-05,BTC-20260105-001,Paracetamol 650mg,Final Release,98,Pass,Minor,6,0,0,0,97.9,97.9,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-05,BTC-20260105-002,Atorvastatin 20mg,Final Release,95,Pass,Minor,6,0,0,0,97.9,97.9,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-05,BTC-20260105-003,Azithromycin 250mg,Final Release,96,Pass,None,6,0,0,0,97.9,97.9,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-05,BTC-20260105-004,Ciprofloxacin 500mg,Final Release,93,Pass,None,6,0,0,0,97.9,97.9,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-05,BTC-20260105-005,Cetirizine 10mg,In-Process,96,Pass,None,6,0,0,0,97.9,97.9,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-05,BTC-20260105-006,Omeprazole 20mg,Final Release,100,Pass,None,6,0,0,0,97.9,97.9,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-06,BTC-20260106-001,Cetirizine 10mg,Stability,98,Pass,None,2,1,0,0,97.4,97.9,0,0,6,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-06,BTC-20260106-002,Ibuprofen 400mg,In-Process,92,Cond.Pass,Minor,2,1,0,0,97.4,97.9,0,0,6,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-06,BTC-20260106-003,Amoxicillin 500mg,Final Release,94,Pass,None,2,1,0,0,97.4,97.9,0,0,6,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
