record_date,shift,total_units_produced,units_target,capacity_utilization_pct,on_time_delivery_pct,open_issues_count,area_granulation_units,area_compression_units,area_coating_units,area_packaging_units,area_others_units,batch_id,batch_status,total_batches,batches_completed,batches_in_progress,batches_pending,batches_on_hold,granulator_speed_rpm,coater_inlet_temp_celsius,compression_force_kn,humidity_pct_rh,differential_pressure_pa,water_system_toc_ppb,alert_high_count,alert_medium_count,alert_low_count,activity_equipment_calibration_due,activity_preventive_maintenance_due,activity_changeover_scheduled,activity_qc_review_time
2026-01-01,Morning,384463,384584,60.2,82.4,0,134385,105793,80412,63871,2,BT202601011,Completed,27,13,9,3,2,429,58.2,18.3,44.6,12.9,116.4,1,3,3,6,3,3,09:00
2026-01-01,Afternoon,366082,365355,62.5,81.0,1,124181,103693,85593,52614,1,BT202601012,On Hold,21,10,7,2,2,443,59.1,18.0,45.5,13.4,131.6,2,2,0,6,3,3,10:15
2026-01-01,Night,347090,338434,62.2,82.0,1,110905,105953,63607,66624,1,BT202601013,Completed,22,10,7,1,4,430,58.1,18.2,47.4,10.2,135.7,1,3,4,2,3,3,14:00
2026-01-02,Morning,403358,382522,72.8,79.6,1,133481,118399,93093,58382,3,BT202601021,Completed,26,12,10,3,1,451,57.7,18.9,51.6,11.0,111.5,0,1,1,6,2,1,14:30
2026-01-02,Afternoon,384445,363396,72.5,81.7,2,133261,110223,79551,61408,2,BT202601022,Completed,24,10,7,4,3,438,56.3,18.0,47.7,11.0,113.0,0,0,1,3,0,3,11:15
2026-01-02,Night,309150,336619,71.0,78.9,3,105944,92565,62607,48032,2,BT202601023,On Hold,21,9,6,2,4,452,57.9,17.9,50.1,12.1,123.1,0,1,1,6,5,1,09:00
2026-01-03,Morning,369111,364386,62.7,75.3,5,125521,109010,80261,54316,3,BT202601031,Completed,28,13,8,3,4,431,59.0,17.1,48.9,12.9,140.2,0,1,2,3,1,3,09:15
2026-01-03,Afternoon,354756,346167,61.2,77.7,4,110628,109353,81033,53740,2,BT202601032,Completed,21,11,6,3,1,439,58.8,18.4,50.7,12.2,138.2,0,0,1,3,3,4,14:00
2026-01-03,Night,307164,320660,58.1,72.1,3,106671,90464,59192,50834,3,BT202601033,Completed,20,8,7,2,3,427,57.9,18.2,49.0,13.1,133.0,1,2,3,6,1,1,10:30
2026-01-04,Morning,337508,348065,64.9,80.6,6,112468,106391,65825,52822,2,BT202601041,Completed,26,12,8,3,3,433,58.6,18.0,42.9,9.9,135.6,2,1,0,6,1,3,16:00
2026-01-04,Afternoon,333874,330661,63.2,78.7,4,111668,93554,73089,55561,2,BT202601042,Completed,21,11,6,2,2,439,57.2,17.3,47.8,12.3,124.5,0,2,2,2,3,2,15:00
2026-01-04,Night,305484,306297,66.2,76.2,5,101884,95912,63017,44668,3,BT202601043,In Progress,22,6,6,1,9,425,58.1,17.3,48.0,11.1,124.4,0,1,0,3,2,4,09:15
2026-01-05,Morning,414977,380719,62.0,83.7,2,143316,117336,94408,59915,2,BT202601051,On Hold,23,10,5,2,6,458,58.2,17.1,45.8,12.7,116.0,0,1,1,1,2,3,10:00
2026-01-05,Afternoon,369980,361683,63.5,78.7,2,123911,116092,79101,50873,3,BT202601052,In Progress,26,12,8,3,3,456,58.9,16.6,47.6,11.1,139.3,0,1,1,1,1,2,09:00
2026-01-05,Night,331003,335032,63.1,81.1,1,104370,99971,74296,52363,3,BT202601053,Completed,22,10,7,2,3,456,58.3,17.0,46.4,13.5,128.8,1,0,2,0,6,1,09:45
2026-01-06,Morning,405059,389462,60.3,83.7,5,130078,118496,80380,76102,3,BT202601061,Pending,26,14,8,2,2,447,58.8,19.0,42.1,13.6,109.3,0,1,1,2,3,4,15:00
2026-01-06,Afternoon,380999,369989,57.3,85.2,5,132972,110274,82406,55346,1,BT202601062,In Progress,25,11,9,3,2,443,60.8,20.0,41.2,11.7,126.1,0,0,3,1,7,3,10:00
2026-01-06,Night,347524,342727,59.7,82.0,4,108859,104448,76827,57388,2,BT202601063,On Hold,20,7,5,2,6,434,63.5,18.7,42.2,11.5,112.7,0,2,1,3,8,3,10:30
2026-01-07,Morning,385062,383613,70.2,86.0,3,124832,114808,85117,60304,1,BT202601071,In Progress,26,12,9,3,2,446,56.9,19.0,46.7,10.6,147.3,0,2,2,3,3,2,14:15
2026-01-07,Afternoon,357507,364432,75.0,88.5,3,120668,104906,73945,57986,2,BT202601072,Completed,24,12,7,2,3,445,57.0,19.0,45.1,11.3,123.9,1,1,3,0,2,1,10:00
2026-01-07,Night,348107,337579,73.1,85.7,3,114151,104878,71345,57730,3,BT202601073,In Progress,18,7,4,1,6,447,57.0,18.6,47.6,12.2,115.0,0,2,3,2,6,1,14:15
2026-01-08,Morning,379488,378853,68.2,94.3,4,132176,101125,87547,58638,2,BT202601081,In Progress,25,12,6,2,5,441,56.5,18.6,49.1,13.6,101.5,1,0,4,2,1,1,14:15
2026-01-08,Afternoon,373588,359910,66.2,90.9,4,122393,105417,85046,60730,2,BT202601082,Completed,23,9,7,3,4,444,58.2,18.0,47.2,12.1,114.0,1,0,1,2,7,2,10:15
2026-01-08,Night,327015,333390,65.2,91.3,4,108776,96527,70344,51366,2,BT202601083,Completed,20,6,6,1,7,446,57.7,17.5,46.6,14.0,93.4,0,1,1,3,2,3,10:15
2026-01-09,Morning,394551,397642,77.1,83.0,2,131953,113299,80434,68863,2,BT202601091,Completed,26,12,8,2,4,433,57.4,17.7,45.6,10.6,126.4,1,1,3,2,3,1,14:15
2026-01-09,Afternoon,365610,377760,71.4,89.2,3,118230,117190,75844,54344,2,BT202601092,Completed,24,13,7,3,1,441,54.2,17.6,42.5,12.5,118.4,1,2,3,0,3,2,16:00
2026-01-09,Night,340525,349925,69.3,86.2,3,118684,99731,70943,51165,2,BT202601093,Completed,19,7,5,2,5,441,57.5,18.5,42.8,11.0,129.2,2,2,4,3,1,4,14:30
2026-01-10,Morning,275602,361096,51.2,77.7,2,91091,79551,62282,42675,3,BT202601101,On Hold,16,7,5,2,2,450,61.4,17.5,46.6,11.7,118.2,1,0,3,0,2,3,15:45
2026-01-10,Afternoon,284830,343041,57.3,75.7,0,97772,77278,60202,49576,2,BT202601102,In Progress,18,9,6,0,3,442,62.6,17.9,50.7,10.7,122.0,1,1,4,0,1,6,15:00
2026-01-10,Night,244951,317764,50.5,77.6,1,78701,69334,59742,37172,2,BT202601103,Completed,15,5,5,2,3,457,62.1,17.8,47.7,11.2,122.8,2,1,2,2,4,2,10:15
2026-01-11,Morning,336758,383108,45.8,85.2,3,119113,98327,64872,54444,2,BT202601111,On Hold,25,13,8,2,2,443,55.9,17.0,45.4,9.6,131.0,0,1,0,1,1,5,14:15
2026-01-11,Afternoon,303517,363952,45.7,87.6,3,104932,85676,59466,53441,2,BT202601112,In Progress,18,6,6,2,4,456,55.7,18.7,44.3,12.1,123.9,1,0,2,2,4,4,16:30
2026-01-11,Night,319145,337135,51.0,83.1,2,108017,91431,68074,51621,2,BT202601113,On Hold,21,7,6,2,6,457,56.4,17.5,43.3,10.5,124.6,0,0,3,2,5,1,15:00
2026-01-12,Morning,395976,398281,62.4,88.6,3,133595,120666,78637,63076,2,BT202601121,In Progress,27,14,8,4,1,453,57.2,18.4,42.8,12.6,113.7,1,1,2,3,2,0,09:00
2026-01-12,Afternoon,395122,378367,57.2,87.5,3,139892,110992,84886,59350,2,BT202601122,On Hold,25,12,9,3,1,457,56.6,19.1,44.8,9.5,111.9,0,1,3,2,1,4,14:30
2026-01-12,Night,358347,350487,63.4,86.3,4,117823,102751,79466,58305,2,BT202601123,In Progress,20,9,7,2,2,451,57.7,18.0,44.5,9.4,94.2,0,1,1,2,6,3,09:45
2026-01-13,Morning,384862,379073,65.6,80.2,2,131811,114266,79876,58908,1,BT202601131,Pending,24,13,7,3,1,455,59.9,16.2,49.4,11.8,119.9,0,2,3,0,5,0,14:15
2026-01-13,Afternoon,349918,360119,62.5,83.0,2,117858,103826,71335,56897,2,BT202601132,Completed,23,10,6,3,4,447,60.5,15.8,49.2,11.2,136.9,0,3,1,1,3,4,15:30
2026-01-13,Night,331113,333584,64.5,80.6,2,114966,94757,68260,53128,2,BT202601133,On Hold,21,7,7,2,5,454,60.1,15.9,50.7,10.7,131.6,2,3,1,1,5,4,14:00
2026-01-14,Morning,403355,400337,63.6,85.4,5,142494,112426,86678,61755,2,BT202601141,Pending,25,14,7,2,2,459,54.9,18.8,45.4,13.2,123.1,1,1,1,5,3,0,10:15
2026-01-14,Afternoon,389598,380320,61.0,78.0,4,127282,121042,82388,58884,2,BT202601142,On Hold,23,10,6,1,6,478,52,18.7,43.7,12.8,107.5,2,0,0,5,3,3,14:30
2026-01-14,Night,356032,352297,65.5,78.7,4,117460,112586,73123,52860,3,BT202601143,Completed,24,10,6,3,5,470,52.6,18.5,47.2,11.9,127.4,0,0,1,3,7,0,14:00
2026-01-15,Morning,398665,390520,68.8,81.9,2,124427,120430,86365,67442,1,BT202601151,In Progress,22,11,8,2,1,445,60.3,17.5,45.4,10.8,123.3,1,1,3,2,3,4,09:00
